time_s,distance_m,x_m,y_m,speed_kmh
30.876,1929.1747222222232,861.9108142860405,10949.241824464927,195.0
30.894,1930.1175894437697,852.0,10949.0,194.16427977142857
31.154,1943.2315096383732,722.0,10939.0,182.0928512
31.156,1943.3302777777785,721.085395082472,10938.85386460269,182.0
31.234,1947.1652962806454,686.0,10932.0,179.0749952
31.316,1951.1525000000008,648.4309708778356,10921.316743758827,176.0
31.474,1958.6817078961003,576.0,10893.0,172.61428297142857
31.596,1964.374722222223,524.1583693979031,10868.184414396455,170.0
31.714,1969.7928383325348,478.0,10841.0,167.0499968
31.836,1975.3080555555562,434.8176096613671,10808.705444061658,164.0
31.894,1977.900920400007,416.0,10792.0,163.0333312
31.994,1982.3332435460197,386.0,10761.0,161.36666453333333
32.076,1985.974722222223,362.72690461108255,10732.312793606852,160.0
32.236,1993.1302777777782,320.56555455398257,10668.730636434642,161.0
32.354,1998.4441535512244,294.0,10624.0,161.7375008
32.554,2007.5277703343477,254.0,10541.0,162.9875008
32.556,2007.619166666667,253.51559952725572,10539.724367994279,163.0
32.714,2014.8840798225406,213.0,10421.0,165.37000192
32.756,2016.8413888888895,205.89675659016572,10398.288972131733,166.0
32.916,2024.396944444445,198.1104135292938,10362.522190951342,170.0
33.055,2030.9718998610772,197.0,10316.0,170.9928576
33.196,2037.7747222222226,191.21181154037788,10211.982978910204,172.0
33.315,2043.7357279081302,185.0,10114.0,176.4625024
33.516,2054.1302777777782,175.91009368945032,9988.705965719993,184.0
33.676,2062.485833333334,169.35684018207783,9920.274599308905,188.0
33.794,2068.5254901540325,164.0,9880.0,184.312496
33.836,2070.6191666666673,161.97728260180327,9867.680386993816,183.0
34.036,2080.1191666666673,151.07234812538664,9822.221932385066,171.0
34.195,2087.234864530261,132.0,9775.0,163.0499968
34.274,2090.634285398122,117.0,9743.0,159.0999936
34.276,2090.719166666667,116.54279568469708,9742.124233831399,159.0
34.554,2102.072287282115,23.0,9607.0,147.0857088
34.556,2102.1525,22.29041939307384,9606.173535054932,147.0
34.796,2111.6858333333334,-57.62458025521351,9534.114125754006,143.0
34.994,2119.2776065409143,-114.0,9499.0,138.0499968
34.996,2119.3525000000004,-114.51866086656605,9498.695104707194,138.0
35.236,2128.0858333333335,-169.83772542793864,9469.287578101676,131.0
35.413,2134.29214002071,-219.0,9455.0,126.5749952
35.436,2135.0858333333335,-226.74386107475846,9453.520716777144,126.0
35.794,2147.11970069946,-364.0,9443.0,121.027776
35.796,2147.1858333333334,-364.61456421538696,9443.02073034592,121.0
35.956,2152.430277777778,-404.6537983154599,9447.746403264246,118.0
36.194,2159.8919606031086,-454.0,9467.0,114.75454370909091
36.354,2164.8168802204877,-499.0,9489.0,112.57272552727272
36.396,2166.119166666667,-510.5674755393575,9495.91907949145,112.0
36.513,2169.7684520490843,-541.0,9517.0,112.58500096
36.596,2172.3969444444447,-560.8628675306613,9532.523440930756,113.0
36.694,2175.5597230736957,-585.0,9555.0,114.63333546666667
36.956,2184.2969444444448,-662.6770384433305,9650.492586359478,119.0
37.014,2186.2755420319972,-676.0,9669.0,120.24285988571428
37.236,2194.019166666667,-703.2352002225254,9715.035548823264,125.0
37.394,2199.7447150652843,-717.0,9751.0,128.16000256
37.636,2208.7969444444448,-747.977238172611,9840.273811014136,133.0
37.694,2210.9993648540362,-754.0,9862.0,134.208336
37.876,2217.9969444444446,-766.0342523641441,9924.602854337578,138.0
37.915,2219.515567099039,-768.0,9938.0,138.78000128
38.076,2225.8858333333337,-774.9969735190655,9996.522999167537,142.0
38.154,2229.061873061797,-776.0,10034.0,144.34000384
38.475,2242.9508827248465,-763.0,10233.0,153.97000192
38.476,2242.9969444444446,-762.964393377214,10233.38826212343,154.0
38.735,2255.543368367542,-754.0,10289.0,168.1272762181818
38.916,2264.7525,-732.9846627944206,10377.187207453631,178.0
39.074,2272.9398318128733,-710.0,10466.0,183.4312544
39.236,2281.5525000000002,-686.04288426629,10542.103772619399,189.0
39.275,2283.67043593928,-677.0,10566.0,190.53214537142858
39.514,2296.9945011819063,-600.0,10750.0,199.9214336
39.516,2297.108055555556,-599.5596522699063,10751.030864866183,200.0
39.754,2310.8275811180483,-572.0,10812.0,205.9500032
39.836,2315.596944444445,-554.3039755888493,10847.204749383529,208.0
39.994,2324.8553349283,-508.0,10938.0,210.9625024
39.996,2324.974722222223,-507.4212149520555,10939.124619390966,211.0
40.274,2342.159245543706,-429.0,11088.0,221.4250048
40.316,2344.796944444445,-416.60138126150093,11110.639767943705,223.0
40.514,2357.2983979651985,-355.0,11219.0,227.12500266666666
