time_s,distance_m,x_m,y_m,speed_kmh
44.117,2845.969166666666,10731.018736145144,12404.78047372908,184.0
44.13,2846.638040282309,10725.0,12400.0,184.19499904
44.317,2856.358055555555,10670.087375680263,12361.19378199349,187.0
44.47,2864.71929543196,10625.0,12337.0,192.94999751111112
44.65,2874.9182626907577,10537.0,12289.0,199.94999751111112
44.677,2876.458055555555,10524.239725246687,12282.204622172998,201.0
44.917,2890.3247222222217,10403.774415677311,12220.91235655474,208.0
44.93,2891.0942317744993,10394.0,12216.0,208.4333312
45.13,2903.21820490614,10213.0,12125.0,215.09999786666665
45.277,2912.3247222222217,10125.937729693964,12080.933483352266,220.0
45.477,2924.880277777777,10076.85701798297,12055.342150124543,226.0
45.631,2934.831307922611,10013.0,12022.0,230.40000365714286
45.671,2937.4474086118444,9990.0,12010.0,231.5428608
45.757,2943.080277777777,9925.10967715855,11975.441853385224,234.0
45.917,2953.613611111111,9774.03187638757,11893.6230871443,237.0
45.951,2955.8762518372646,9747.0,11879.0,237.8500032
46.117,2967.0580555555553,9648.292098057918,11825.857905948546,242.0
46.317,2980.780277777778,9578.572351758836,11788.79030646763,247.0
46.431,2988.7486214068363,9525.0,11760.0,249.50156970501422
46.636,3003.2875000000004,9399.177020554329,11691.965547528578,254.0
46.671,3005.7836582283608,9377.0,11680.0,254.70000128
46.751,3011.503746861546,9327.0,11653.0,256.30000128
46.836,3017.6208333333334,9273.632302058295,11623.603510566123,258.0
46.996,3029.265277777778,9172.073874493875,11566.089414721308,262.0
47.051,3033.3024055422807,9137.0,11546.0,262.91666346666665
47.236,3046.998611111111,9018.48286502395,11477.524956149,266.0
47.291,3051.1013409434536,8983.0,11457.0,267.09999616
47.436,3061.998611111111,8888.776409203436,11402.650458118562,270.0
47.531,3069.2214100533456,8826.0,11367.0,271.97916266666664
47.676,3080.3319444444446,8728.388774175413,11312.660911230412,275.0
47.731,3084.55465766012,8692.0,11292.0,275.6874976
47.771,3087.6289137878825,8666.0,11277.0,276.1874976
47.836,3092.6430555555553,8624.650865839241,11253.462405061835,277.0
47.996,3105.0875,8525.779561074474,11199.179560391414,280.0
48.131,3115.6662200244687,8421.0,11141.0,281.6874976
48.236,3123.9541666666664,8319.423668990543,11083.528414202729,283.0
48.351,3133.1034548297803,8215.0,11024.0,284.796876
48.556,3149.5541666666663,8113.48669351479,10965.724602009472,288.0
48.631,3155.596402696855,8076.0,10944.0,288.8035721142857
48.836,3172.1874999999995,7934.715766536356,10861.622088735248,291.0
48.891,3176.6637638953625,7895.0,10838.0,291.6874976
49.071,3191.3778450164027,7771.0,10762.0,293.9375008
49.076,3191.7875,7767.604368315437,10759.856820281977,294.0
49.316,3211.5208333333335,7603.801453045349,10652.081451686185,296.0
49.351,3214.41608811477,7579.0,10635.0,296.43568555968415
49.557,3231.537222222222,7428.312796928458,10527.150742171068,299.0
49.61,3235.952404704153,7391.0,10499.0,299.3785709714286
49.79,3250.9925826808308,7273.0,10405.0,300.66428525714286
49.837,3254.9483333333333,7244.092419429425,10380.94436257793,301.0
49.93,3262.8168892749236,7182.0,10329.0,302.453124
50.157,3282.1483333333326,6960.367831396665,10149.417700218117,306.0
50.21,3286.652440547138,6918.0,10115.0,306.0
50.437,3305.948333333333,6829.836176967302,10040.670233672377,306.0
50.63,3322.5202953168773,6724.0,9947.0,308.1931810909091
50.83,3339.8621155303917,6502.0,9754.0,310.46590836363634
50.877,3343.959444444444,6467.2856116776065,9723.822151465676,311.0
51.15,3367.910791419044,6384.0,9651.0,314.4124992
51.277,3379.070555555555,6308.267957343642,9584.875270962064,316.0
51.41,3390.743035205876,6212.0,9501.0,316.0
51.437,3393.1149999999993,6193.27564232729,9484.7196272389,316.0
51.637,3410.7261111111106,6060.864789450564,9369.919785933569,317.0
51.67,3413.636696440825,6039.0,9351.0,317.2062496
51.77,3422.4682880549967,5972.0,9293.0,317.8312496
51.797,3424.859444444444,5953.7525979753555,9277.136730563656,318.0
51.97,3440.2573170695146,5838.0,9176.0,319.6218744
52.117,3453.392777777777,5747.908855162215,9097.589305477866,321.0
52.211,3461.7951766479564,5677.0,9036.0,321.33571382857144
52.397,3478.437222222222,5480.613779653424,8865.423020336133,322.0
52.511,3488.6585842793947,5380.0,8778.0,322.7125008
52.557,3492.7927777777777,5352.237004794292,8753.861124105333,323.0
52.811,3515.7227498122525,5271.0,8683.0,324.8142848
52.837,3518.0705555555555,5258.6929578737945,8672.255844871479,325.0
52.997,3532.515,5155.032776852882,8581.786544894478,325.0
53.131,3544.6572352455296,5053.0,8493.0,325.7465172596738
53.351,3564.6689445579254,4888.0,8350.0,326.97214520830835
53.356,3565.1241666666665,4884.5678050555625,8347.02192967792,327.0
53.651,3592.002228931956,4696.0,8183.0,327.9218744
53.676,3594.279722222222,4677.545108546012,8166.970145796149,328.0
53.876,3612.501944444444,4514.38755852215,8025.449479485225,328.0
53.951,3619.3491633804288,4462.0,7980.0,328.37500032
54.076,3630.7797222222216,4394.568185967828,7921.430806625498,329.0
54.191,3641.3115165002328,4324.0,7860.0,329.28750016
54.476,3667.446388888888,4030.932787249606,7604.562517973229,330.0
54.551,3674.32055124797,3974.0,7555.0,330.0
54.796,3696.7797222222216,3884.0410660735365,7477.095933750315,330.0
54.811,3698.1564444422083,3877.0,7471.0,330.0468744
55.071,3722.0574810058906,3696.0,7314.0,330.8593752
55.116,3726.201944444444,3663.812057200628,7286.043168934916,331.0
55.291,3742.3406367141342,3544.0,7182.0,331.62499931428573
55.396,3752.0241666666666,3471.0012251512785,7118.815619564055,332.0
55.571,3768.1400109410774,3349.0,7013.0,328.1718792
55.716,3780.9130555555557,3251.263549160469,6927.337718654502,325.0
55.751,3783.8530917915514,3228.0,6907.0,319.4583232
55.951,3799.668958884717,3099.0,6795.0,287.7916565333333
55.956,3800.0463888888894,3095.9738796570737,6792.374691518202,287.0
56.131,3812.721756159567,2997.0,6706.0,262.6219095313543
56.157,3814.5072222222225,2983.194230155218,6693.736026946035,259.0
56.31,3824.5037750929328,2906.0,6624.0,239.11000832
56.357,3827.4516666666673,2883.5687860894163,6603.509311756869,233.0
56.49,3835.5568376363985,2823.0,6547.0,223.5791712
56.597,3841.8516666666674,2776.8299819964814,6501.307228873503,216.0
56.69,3847.176175560927,2740.0,6464.0,211.3500032
56.877,3857.5627777777786,2678.5988635380845,6401.467063810264,202.0
57.01,3864.8094187964102,2635.0,6335.0,198.6750016
57.157,3872.729444444445,2583.514364282271,6227.190251184387,195.0
57.17,3873.4275097369145,2580.0,6219.0,194.8375008
57.397,3885.5294444444453,2556.0656281415727,6138.127813525407,192.0
57.49,3890.4082974175317,2553.0,6107.0,190.6714294857143
57.677,3900.1516666666676,2544.8485672557986,6010.97468977937,188.0
57.71,3901.880383248849,2544.0,5988.0,188.13749973333333
57.917,3912.7516666666675,2544.941663351739,5808.676726289239,189.0
57.99,3916.5572451204007,2546.0,5759.0,189.0
58.117,3923.2516666666675,2547.3824865327574,5710.05519388217,189.0
58.33,3935.083059861474,2544.0,5650.0,198.76249706666667
58.357,3936.585000000001,2542.5047741209064,5633.616916676931,200.0
58.597,3949.9183333333344,2521.2402173876576,5435.024875255351,200.0
58.61,3950.6652873837193,2520.0,5426.0,200.8937456
58.757,3959.296111111112,2506.240704352992,5348.776164091321,211.0
58.957,3971.1294444444457,2483.721520150746,5287.2798213673805,213.0
59.031,3975.587891917749,2471.0,5256.0,214.8500032
59.237,3988.240555555557,2422.7626098118726,5141.871359570137,220.0
59.291,3991.5979380677895,2408.0,5111.0,221.3499968
59.477,4003.307222222223,2351.6959651456186,5010.911685233058,226.0
59.531,4006.7611222448304,2333.0,4983.0,227.10705871787755
59.691,4017.144253248483,2271.0,4902.0,230.3872404720196
